power_rank,team,rank,total.points,rating,power_score
1,Spain,3,1853.27,2171.0,0.994916606416733
2,Argentina,1,1867.25,2113.0,0.9893136803316445
3,France,2,1859.78,2062.0,0.9772829955723614
4,England,4,1813.81,2042.0,0.9623568200915732
5,Brazil,5,1775.85,1979.0,0.9422460677337196
6,Portugal,6,1756.12,1976.0,0.9366992722330114
7,Netherlands,7,1747.55,1959.0,0.9307212397024021
8,Colombia,12,1694.44,1998.0,0.9217027155743339
9,Germany,10,1703.79,1910.0,0.9096811411857929
10,Croatia,13,1691.59,1933.0,0.9079818909940045
11,Belgium,8,1740.62,1849.0,0.9079239344859509
12,Italy,9,1731.51,1859.0,0.9068166219058307
13,Uruguay,11,1695.91,1890.0,0.9032831880019317
14,Japan,15,1652.79,1878.0,0.8879872475775394
15,Morocco,14,1688.18,1830.0,0.8871518886043421
16,Switzerland,20,1625.16,1897.0,0.8801885017059443
17,Mexico,19,1627.4,1835.0,0.870392550553664
18,Denmark,21,1611.49,1864.0,0.8702808057362399
19,Ecuador,24,1560.13,1933.0,0.869518895198452
20,Senegal,17,1637.25,1803.0,0.8687850484425715
21,Austria,22,1589.84,1818.0,0.856441807789162
22,Ukraine,25,1554.94,1802.0,0.8431873427143388
23,Australia,26,1544.15,1774.0,0.8347552604095827
24,Norway,43,1484.44,1922.0,0.8301951280387072
25,Canada,31,1515.96,1802.0,0.8285069405978392
26,Turkey,42,1475.13,1880.0,0.8218608230765372
27,Serbia,32,1514.28,1769.0,0.820907233078568
28,Russia,34,1512.32,1782.0,0.8205328123100182
29,Wales,29,1534.39,1715.0,0.8184174475563399
30,Sweden,27,1540.2,1660.0,0.8117945961187284
31,Hungary,30,1517.57,1698.0,0.8108513495781848
32,Poland,35,1510.62,1735.0,0.8103497984634445
33,Panama,36,1504.39,1742.0,0.8092441244216028
34,Greece,39,1489.88,1761.0,0.8063632283411666
35,Algeria,37,1495.85,1726.0,0.8034561135652727
36,Scotland,45,1480.24,1790.0,0.8026737242686619
37,Paraguay,53,1458.26,1833.0,0.7967959712462563
38,Czechia,42,1484.88,1731.0,0.7962848409621401
39,Peru,40,1488.42,1698.0,0.7932784625088184
40,Slovakia,41,1486.19,1687.0,0.7896263155580525
41,Egypt,33,1513.48,1591.0,0.786761120036146
42,Romania,38,1494.2,1642.0,0.7864655893969276
43,Venezuela,47,1475.71,1715.0,0.7855908706582369
44,Chile,50,1469.44,1731.0,0.7837433744250301
45,Nigeria,44,1482.23,1627.0,0.774220713946796
46,Slovenia,55,1454.25,1695.0,0.7682056597596978
47,Uzbekistan,58,1424.93,1735.0,0.7663431302924484
48,Tunisia,52,1464.42,1641.0,0.7638024959891541
49,Mali,51,1466.1,1612.0,0.7599788962767348
50,Costa Rica,54,1454.99,1633.0,0.7581209694351364
51,Cameroon,49,1471.49,1559.0,0.753643691652552
52,Iraq,56,1442.86,1582.0,0.7439970960651632
53,Jordan,64,1375.91,1687.0,0.7408862498894625
54,Saudi Arabia,59,1406.56,1612.0,0.738948498074562
55,Albania,65,1375.57,1664.0,0.7353869516057661
56,Qatar,48,1474.6,1427.0,0.7311179268618344
57,South Africa,57,1428.87,1531.0,0.7307113583703652
58,Georgia,68,1362.21,1650.0,0.726647274826566
59,United Arab Emirates,63,1385.57,1549.0,0.7185158314727033
60,North Macedonia,67,1368.96,1592.0,0.7184564536822791
61,Jamaica,62,1390.85,1527.0,0.7166749340095944
62,Burkina Faso,66,1373.76,1547.0,0.7122854811948649
63,Northern Ireland,71,1349.58,1602.0,0.7117837234895299
64,Bolivia,79,1308.58,1675.0,0.7077721644876122
65,Iceland,70,1355.1,1566.0,0.7074095678223141
66,Israel,76,1322.25,1631.0,0.7058851943607279
67,Finland,69,1361.53,1509.0,0.6993413958787741
68,Bosnia and Herzegovina,74,1326.69,1571.0,0.6980773933582645
69,Honduras,75,1325.93,1567.0,0.69599793903217
70,Yugoslavia,16,689.0,1819.0,0.6903978908677176
71,Ghana,77,1320.52,1509.0,0.6818778889181798
72,Angola,85,1296.48,1566.0,0.6781830572375137
73,Montenegro,73,1326.76,1444.0,0.6758876849658926
74,Guinea,78,1311.88,1485.0,0.674596653657028
75,Kosovo,99,1219.82,1714.0,0.6739486889662739
76,Oman,80,1306.67,1490.0,0.6721226562218662
77,Haiti,86,1287.75,1542.0,0.670884497626025
78,Serbia and Montenegro,36,724.0,1801.0,0.6698952492098584
79,Bulgaria,82,1301.04,1452.0,0.6616451955126158
80,Gabon,84,1297.87,1467.0,0.6614063522600931
81,Bahrain,81,1305.52,1417.0,0.6572550942434521
82,Curaçao,91,1264.78,1467.0,0.6466635603779467
83,Uganda,88,1270.42,1433.0,0.6450733421237885
84,Syria,95,1249.47,1486.0,0.6424324978234902
85,New Zealand,105,1193.98,1586.0,0.6382140399722405
86,Equatorial Guinea,93,1256.2,1437.0,0.63709222108988
87,El Salvador,83,1300.81,1324.0,0.6368211478973463
88,Belarus,98,1226.31,1496.0,0.6362283171653966
89,Zambia,87,1279.24,1364.0,0.6352542652380784
90,Benin,94,1250.99,1436.0,0.6347089145585196
91,Luxembourg,92,1256.42,1395.0,0.6305923723356023
92,Guatemala,105,1201.35,1528.0,0.6289463921036923
93,Palestine,101,1215.87,1470.0,0.6258397566182325
94,Mozambique,96,1232.7,1389.0,0.6201362732177138
95,Thailand,97,1228.24,1367.0,0.6140281515649859
96,Armenia,100,1219.15,1389.0,0.612743307032893
97,Trinidad and Tobago,102,1214.81,1402.0,0.611910753444324
98,Comoros,103,1208.99,1359.0,0.6016716569012198
99,Kazakhstan,110,1180.18,1410.0,0.5971493255565015
100,Tanzania,106,1199.33,1325.0,0.5899592655969721
101,Kenya,108,1189.65,1344.0,0.5892042819000848
102,Tajikistan,104,1203.08,1297.0,0.5879145450819383
103,Libya,118,1158.03,1424.0,0.5858956889270596
104,Mauritania,109,1183.16,1310.0,0.5804944372108652
105,Madagascar,115,1162.02,1369.0,0.5801186728758841
106,Sudan,113,1165.41,1352.0,0.5800313707586738
107,Lebanon,112,1168.1,1332.0,0.578060410773094
108,Namibia,111,1179.26,1311.0,0.5775356177561607
109,Niger,122,1145.96,1403.0,0.5749184273513814
110,Gambia,124,1137.22,1424.0,0.574712880650791
111,Czechoslovakia,19,49.0,1864.0,0.57190510403558
112,Azerbaijan,117,1158.7,1339.0,0.5715598456186162
113,Vietnam,116,1161.11,1329.0,0.5713774565625478
114,Togo,119,1152.18,1340.0,0.5680966950763274
115,Zimbabwe,121,1151.06,1352.0,0.5676997213534213
116,Estonia,123,1142.53,1359.0,0.564955141665278
117,Indonesia,125,1135.11,1341.0,0.5578180566937799
118,Rwanda,124,1136.06,1310.0,0.5534854434691833
119,Suriname,138,1096.6,1441.0,0.55327960952634
120,Sierra Leone,129,1132.06,1344.0,0.5529990053874276
121,Guinea-Bissau,120,1151.72,1244.0,0.5491242746279872
122,Cyprus,130,1131.32,1302.0,0.5439220190652825
123,Faroe Islands,137,1096.88,1380.0,0.543290619413113
124,Nicaragua,133,1114.28,1328.0,0.5418438444834349
125,Malaysia,132,1117.05,1314.0,0.5409937652653791
126,Kuwait,134,1109.16,1330.0,0.5400306029749127
127,Botswana,136,1098.85,1319.0,0.5336269421006556
128,Malawi,131,1129.31,1252.0,0.5331265917839361
129,Congo,128,1132.65,1206.0,0.5288826774422758
130,Central African Republic,135,1102.23,1238.0,0.5205497417934684
131,Dominican Republic,141,1083.36,1294.0,0.5200581954000382
132,Latvia,140,1084.11,1286.0,0.5199247621083127
133,Swaziland,141,1078.0,1286.0,0.5175524589644175
134,India,127,1133.62,1123.0,0.514973075749956
135,Lithuania,142,1069.96,1276.0,0.5129661758438501
136,Burundi,139,1087.26,1238.0,0.5128834358588883
137,Liberia,145,1063.04,1299.0,0.512283287538491
138,Ethiopia,146,1059.94,1264.0,0.5040417464877928
139,Turkmenistan,143,1065.42,1217.0,0.500025519807753
140,New Caledonia,152,1034.43,1295.0,0.49766587575422216
141,Guyana,154,1030.6,1275.0,0.490851346086716
142,Lesotho,150,1046.76,1215.0,0.4876919049812826
143,Hong Kong,146,1062.39,1136.0,0.4809297517758028
144,Philippines,149,1047.73,1155.0,0.47801998177813854
145,Tahiti,153,1031.47,1178.0,0.4743430386445722
146,Fiji,147,1049.15,1109.0,0.4722103090471546
147,Eswatini,159,1015.25,1210.0,0.4699396727421626
148,Solomon Islands,148,1048.75,1091.0,0.4676206956507356
149,Malta,169,983.95,1279.0,0.4646659616600531
150,Cuba,164,994.43,1230.0,0.463636049603557
151,Yemen,158,1017.84,1150.0,0.460579587845082
152,Puerto Rico,157,1022.83,1134.0,0.4597883488203346
153,Singapore,161,1007.83,1131.0,0.45156352742980777
154,Afghanistan,155,1025.0,1033.0,0.4439894666796367
155,Vanuatu,163,996.21,1114.0,0.4438022196667564
156,Bermuda,166,988.19,1121.0,0.43995963904838503
157,South Sudan,170,973.55,1133.0,0.4345678184217113
158,Papua New Guinea,172,963.22,1136.0,0.4307397641634962
159,Grenada,174,955.44,1122.0,0.42427036935398543
160,Andorra,171,971.54,1083.0,0.423772391140365
161,Chad,176,935.41,1119.0,0.41746965377001716
162,Belize,178,925.02,1103.0,0.41012935901907
163,Antigua and Barbuda,160,1010.97,895.0,0.4098818607758293
164,Mauritius,179,923.46,1090.0,0.4062376884502556
165,Myanmar,167,986.15,944.0,0.40575908184771103
166,Maldives,162,1001.39,841.0,0.3956961033262326
167,Eritrea,195,855.56,1141.0,0.38342526403665883
168,Nepal,175,939.2,917.0,0.3821775017123735
169,Montserrat,181,914.26,971.0,0.38014903035344516
170,Barbados,177,933.3,921.0,0.3793864373671286
171,Dominica,183,900.0,940.0,0.3693000851755073
172,Bangladesh,185,898.81,940.0,0.36667867426788997
173,Cambodia,180,921.2,846.0,0.359650241151788
174,Gibraltar,197,848.58,1017.0,0.35684270546065583
175,Djibouti,191,877.37,915.0,0.3507684232684204
176,Aruba,195,858.0,949.0,0.34851954338349567
177,Somalia,202,829.81,961.0,0.33693092882080505
178,Cayman Islands,194,866.71,806.0,0.3250450223701231
179,Mongolia,187,883.57,730.0,0.32266089270482634
180,Liechtenstein,204,821.71,900.0,0.3217403324520231
181,Laos,186,889.54,707.0,0.3207685683701332
182,Pakistan,198,842.59,828.0,0.3196708390829705
183,Seychelles,201,831.19,841.0,0.31628311420806143
184,Samoa,192,876.41,729.0,0.3151175362542853
185,Bhutan,182,904.06,614.0,0.3112132917054932
186,Netherlands Antilles,150,107.0,1219.0,0.30753187618273115
187,Sri Lanka,200,832.8,780.0,0.3065501394942568
188,Cook Islands,190,877.53,622.0,0.2980110553479884
189,Guam,203,821.91,714.0,0.28870508156205965
190,San Marino,210,747.42,833.0,0.2879184685341688
191,Bahamas,205,818.58,719.0,0.2865929705561567
192,British Virgin Islands,207,780.3,693.0,0.27204158322026023
193,Turks and Caicos Islands,206,803.98,657.0,0.27116309646546033
194,Moldova,151,1045.59,0.0,0.26241054381513323
195,Tonga,199,835.64,520.0,0.26038879962581296
196,Anguilla,209,769.31,646.0,0.2588741391845555
197,US Virgin Islands,208,779.71,617.0,0.2567290765269967
